yyyy,mo,dd,hh,mm,Date,Transp_av,Transp_min,Transp_max
2017,6,10,0,0,10.6.2017,0.975755586,0.79224932,1.159261852
2017,6,11,0,0,11.6.2017,0.573222194,0.46766079,0.678783598
2017,6,12,0,0,12.6.2017,0.457385303,0.365594679,0.549175928
2017,6,13,0,0,13.6.2017,1.12850432,0.873559675,1.383448964
2017,6,14,0,0,14.6.2017,1.230977936,0.985251829,1.476704043
2017,6,15,0,0,15.6.2017,1.128070688,0.898404525,1.357736851
2017,6,16,0,0,16.6.2017,1.110329846,0.881897144,1.338762549
2017,6,17,0,0,17.6.2017,0.669097224,0.538933914,0.799260533
2017,6,18,0,0,18.6.2017,0.90483871,0.709567423,1.100109998
2017,6,19,0,0,19.6.2017,1.005657544,0.781694997,1.229620092
2017,6,20,0,0,20.6.2017,0.810335826,0.633113852,0.987557801
2017,6,21,0,0,21.6.2017,0.477488989,0.375248847,0.579729132
2017,6,22,0,0,22.6.2017,0.517849676,0.405447292,0.63025206
2017,6,23,0,0,23.6.2017,0.894293109,0.704236382,1.084349835
2017,6,24,0,0,24.6.2017,0.292230192,0.235354258,0.349106127
2017,6,25,0,0,25.6.2017,0.1417168,0.093492095,0.189941505
2017,6,26,0,0,26.6.2017,0.279371907,0.224978332,0.333765482
2017,6,27,0,0,27.6.2017,0.580600717,0.458147079,0.703054354
2017,6,28,0,0,28.6.2017,0.818344056,0.641952746,0.994735365
2017,6,29,0,0,29.6.2017,1.029363531,0.824604899,1.234122164
2017,6,30,0,0,30.6.2017,1.133292673,0.899369604,1.367215743
2017,7,1,0,0,1.7.2017,1.098123034,0.87716998,1.319076089
2017,7,2,0,0,2.7.2017,1.161240321,0.932388143,1.3900925
2017,7,3,0,0,3.7.2017,0.113568218,0.095466708,0.131669728
